location_id,shelter_id,shelter_name,address_1,city,county_parish,state,zip,shelter_status_code,assigned_geo_level,loc_id,tract_loc_id,county_loc_id,state_loc_id,latitude,longitude
nss_shelters-171171,171171,Golden Gate Park Senior Center,6101 Fulton Street,San Francisco,San Francisco,CA,94121,CLOSED,state,USA-CA,,,USA-CA,37.77204038,-122.49630934
nss_shelters-364788,364788,Harbor High School,300 La Fonda Ave,SANTA CRUZ,SANTA CRUZ,CA,95062,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-350825,350825,Harding University Partnership,1625 Robbins Street,SANTA BARBARA,SANTA BARBARA,CA,93101,CLOSED,state,USA-CA,,,USA-CA,34.41703583,-119.72148071
nss_shelters-326579,326579,Hemet High School,41701 E Stetson Ave,Hemet,Riverside,CA,92544,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-330418,330418,Hollywood Beach School,4000 Sunset Lane,OXNARD,VENTURA,CA,93035,CLOSED,state,USA-CA,,,USA-CA,34.17235107,-119.23291251
nss_shelters-344903,344903,Inactive- San Diego First Church of the Nazarene,3901 Lomaland Drive,SAN DIEGO,SAN DIEGO,CA,92106,CLOSED,state,USA-CA,,,USA-CA,32.719178,-117.250412
nss_shelters-171564,171564,Isla Vista School,6875 EL COLEGIO RD,GOLETA,SANTA BARBARA,CA,93117,CLOSED,state,USA-CA,,,USA-CA,34.41753323,-119.87103545
nss_shelters-364739,364739,Joseph A Nelson Community Center,611 Village Drive,SUISUN CITY,SOLANO,CA,94585,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-363835,363835,Lake Park Club House,1035 11th st.,HUNTINGTON BEACH,ORANGE,CA,92648,CLOSED,state,USA-CA,,,USA-CA,33.6688006,-117.9983201
nss_shelters-363677,363677,Latter Day Saints Church,1000 Shell Blvd,FOSTER CITY,SAN MATEO,CA,94404,CLOSED,state,USA-CA,,,USA-CA,37.5517762,-122.2640594
nss_shelters-364866,364866,Los Olivos Community,101 Alfonso,IRVINE,ORANGE,CA,92618,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-172344,172344,MEALS ON WHEELS,700 JEWEL,PACIFIC GROVE,MONTEREY,CA,93950,CLOSED,state,USA-CA,,,USA-CA,36.6245954,-121.91892661
nss_shelters-172455,172455,MONARCH GROVE ELEMENTARY,348 LOS OSO VALLEY RD,LOS OSOS,SAN LUIS OBISPO,CA,93402,CLOSED,state,USA-CA,,,USA-CA,35.31277786,-120.84924982
nss_shelters-172250,172250,Marina Middle School,3500 Fillmore Street,San Francisco,San Francisco,CA,94123,CLOSED,state,USA-CA,,,USA-CA,37.80183491,-122.43643248
nss_shelters-172277,172277,Martin J. Bogdanovich Recreation Center,1920 CUMBRE DR.,SAN PEDRO,LOS ANGELES,CA,90732,CLOSED,state,USA-CA,,,USA-CA,33.72939,-118.31920133
nss_shelters-172299,172299,Mary Star Of The Sea High School,2500 North Taper Avenue,SAN PEDRO,LOS ANGELES,CA,90731,CLOSED,state,USA-CA,,,USA-CA,33.7369623,-118.29477574
nss_shelters-172303,172303,Marymount College - Auditorium,30800 Palos Verdes Dr. East,RANCHO PALOS VERDES,LOS ANGELES,CA,90275,CLOSED,state,USA-CA,,,USA-CA,33.73639572,-118.33182781
